Instrument	Old Instrument Name	New Instrument Name	Descriptor	CEDA Instrument Record URL	Manufacturer	Model No.	Scientist	Data Product(s)	Domains
IAO - met		ncas-aws-3	NCAS Automatic Weather Station unit 3	NEEDS INVESTIGATION	Davis	VAntage pro 2	Barbara Brooks	surface-met	land
IAO - vaisala WXT365		ncas-aws-10	NCAS Automatic Weather Station unit 10	NEEDS INVESTIGATION	Vaisala	WXT365	Barbara Brooks	surface-met	land
IAO Ceilometer		ncas-ceilometer-3	NCAS Lidar Ceilometer unit 3	NEEDS INVESTIGATION	Campbel	CS135	Barbara Brooks	aerosol-backscatter, |cloud-base	land
IAO Doppler lidar		ncas-lidar-dop-2	NCAS Doppler Aerosol Lidar unit 2	NEEDS INVESTIGATION	HALO Photonics	StreamLine	Barbara Brooks	mean-winds-profile,|aerosol-backscatter-radial-winds, |depolarisation-ratio	land
IAO Camera 1		ncas-cam-1	NCAS Camera unit 1	NEEDS INVESTIGATION	ycam	protect outdoor camera	James Groves	images - data product not defined	land
IAO Camera 2		ncas-cam-2	NCAS Camera unit 2	NEEDS INVESTIGATION	ycam	protect outdoor camera	James Groves	images - data product not defined	land
IAO All sky camera	skycam	ncas-cam-3	NCAS Camera unit 3	NEEDS INVESTIGATION	planet	ICA 8350	James Groves	images - data product not defined	land
AWS		ncas-aws-1	NCAS Automatic Weather Station unit 1	NEEDS INVESTIGATION	Davis	Vatage Pro 2	Phil Rosenberg	surface-met	land, sea
Ceilometer		ncas-ceilometer-1	NCAS Lidar Ceilometer unit 1	NEEDS INVESTIGATION	Campbel	CS135	Phil Rosenberg	aerosol-backscatter, |cloud-base	land, sea
Energy Balance -1		ncas-energy-balance-1	NCAS Energy Balance Station unit 1 - NR01 radiation sensor	NEEDS INVESTIGATION	Campbel	CR5000	Phil Rosenberg	radiation, |soil	land, sea
Energy Balance -2		ncas-energy-balance-2	NCAS Energy Balance Station unit 2 - Kipp&Zonen radiation sensor	NEEDS INVESTIGATION	Campbel	CR3000	Phil Rosenberg	radiation, |soil	land, sea
Flux - 1		ncas-flux-1	NCAS Flux Station unit 1	NEEDS INVESTIGATION	Bespoke	Flux	Phil Rosenberg	flux-components, |flux estimates	land, sea
Flux - 2		ncas-flux-2	NCAS Flux Station unit 2	NEEDS INVESTIGATION	Bespoke	Flux	Phil Rosenberg	flux-components, |flux estimates	land, sea
Licor - 1		ncas-licor-1	NCAS LiCor unit 1	NEEDS INVESTIGATION	Li-Cor	LI-7500	Phil Rosenberg	mean-co2-h2o	land, sea
Licor - 2		ncas-licor-2	NCAS LiCor unit 2	NEEDS INVESTIGATION	Li-Cor	LI-7500	Phil Rosenberg	mean-co2-h2o	land, sea
